method,provenance,LS-100,NS-100,FSC-89,notes
B0 Frozen Prototype/KMeans,project baseline,complete,existing-needs-mixed-stream-audit,existing-needs-mixed-stream-audit,rerun only where old protocol differs
B1 DFSB structure discovery,project method,complete,pending,pending,requires dataset-specific structure checkpoints
B2 TEEN,official-transfer,complete-canonical,complete,complete,pure method with structure weight zero; old LS checkpoint result excluded
B3 VB-CGCD,official-transfer,numerically-collapsed,numerically-collapsed,numerically-collapsed,full covariance is singular/NaN in strict 5-shot stream; retain as DNF evidence
B3s VB-CGCD-Shrinkage,paper-faithful adaptation,screened,pending,pending,stable diagonal shrinkage but weak candidate discovery
B4 OFCL,official-component-transfer,running-10-algorithm-seeds,running-10-algorithm-seeds,running-10-algorithm-seeds,anchor/radius open detector on shared frozen acoustic features; prompt encoder adaptation remains
B5 OPCR,paper reimplementation,running-10-algorithm-seeds,running-10-algorithm-seeds,running-10-algorithm-seeds,orthogonal anchors + EVT + top-k confidence refinement on common features
B6 YLOC,paper reimplementation,running-10-algorithm-seeds,running-10-algorithm-seeds,running-10-algorithm-seeds,PAL old-distribution transfer retained; PCL approximated by frozen base centering
B7 Happy,official-component-reimplementation,complete-1seed,running-1seed,running-1seed,official hardness-aware prototype/radius sampling; frozen audio encoder and anchored cosine-head update
Ours,proposed,complete-10paired,running-gated-10paired,running-gated-10paired,semantic correction + uncertainty memory + confidence-anchored hard statistical replay with fixed reliability gates; DFSB joint path ablation pending
